time,count,activity
2026-05-02 12:36:43.098444,0,Low
2026-05-02 12:36:43.215772,0,Low
2026-05-02 12:36:43.333132,1,Low
2026-05-02 12:36:43.443429,0,Low
2026-05-02 12:36:43.546033,0,Low
2026-05-02 12:36:43.663118,0,Low
2026-05-02 12:36:43.778079,0,Low
2026-05-02 12:36:43.886529,0,Low
2026-05-02 12:36:43.993314,0,Low
2026-05-02 12:36:44.101222,0,Low
2026-05-02 12:36:44.207160,0,Low
2026-05-02 12:36:44.328325,1,Low
2026-05-02 12:36:44.429413,0,Low
2026-05-02 12:36:44.562851,0,Low
2026-05-02 12:36:44.668251,1,Low
2026-05-02 12:36:44.797840,0,Low
2026-05-02 12:36:44.935634,0,Low
2026-05-02 12:36:45.065180,1,Low
2026-05-02 12:36:45.186903,1,Low
2026-05-02 12:36:45.324395,0,Low
2026-05-02 12:36:45.442503,1,Low
2026-05-02 12:36:45.575620,1,Low
2026-05-02 12:36:45.709627,1,Low
2026-05-02 12:36:45.826740,1,Low
2026-05-02 12:36:45.951332,1,Low
2026-05-02 12:36:46.087968,1,Low
2026-05-02 12:36:46.216423,1,Low
2026-05-02 12:36:46.365068,1,Low
2026-05-02 12:36:46.510078,1,Low
2026-05-02 12:36:46.625646,1,Low
2026-05-02 12:36:46.726861,0,Low
2026-05-02 12:36:46.846408,0,Low
2026-05-02 12:36:47.070435,0,Low
2026-05-02 12:36:47.208688,0,Low
2026-05-02 12:36:47.338695,0,Low
2026-05-02 12:36:47.486268,0,Low
2026-05-02 12:36:47.601348,0,Low
2026-05-02 12:36:47.719364,0,Low
2026-05-02 12:36:47.853820,0,Low
2026-05-02 12:36:47.982732,0,Low
2026-05-02 12:36:48.108122,0,Low
2026-05-02 12:36:48.218867,0,Low
2026-05-02 12:36:48.335522,0,Low
2026-05-02 12:36:48.477089,0,Low
2026-05-02 12:36:48.604493,0,Low
2026-05-02 12:36:48.733994,0,Low
2026-05-02 12:36:48.842936,0,Low
2026-05-02 12:36:48.959554,0,Low
2026-05-02 12:36:49.075168,0,Low
2026-05-02 12:36:49.187302,0,Low
2026-05-02 12:36:49.306003,1,Low
2026-05-02 12:36:49.452414,0,Low
2026-05-02 12:36:49.580312,1,Low
2026-05-02 12:36:49.722031,1,Low
2026-05-02 12:36:49.835010,1,Low
2026-05-02 12:36:50.019996,1,Low
2026-05-02 12:36:50.137611,1,Low
2026-05-02 12:36:50.291548,1,Low
2026-05-02 12:36:50.424898,1,Low
2026-05-02 12:36:50.571288,1,Low
2026-05-02 12:36:50.697301,1,Low
2026-05-02 12:36:50.798153,0,Low
2026-05-02 12:36:50.920291,1,Low
2026-05-02 12:36:51.042461,1,Low
2026-05-02 12:36:51.138414,0,Low
2026-05-02 12:36:51.251657,1,Low
2026-05-02 12:36:51.374654,1,Low
2026-05-02 12:36:51.470449,1,Low
2026-05-02 12:36:51.573630,0,Low
2026-05-02 12:36:51.672493,0,Low
2026-05-02 12:36:51.797836,1,Low
2026-05-02 12:36:51.915406,1,Low
2026-05-02 12:36:52.013215,1,Low
2026-05-02 12:36:52.119152,1,Low
2026-05-02 12:36:52.225953,1,Low
2026-05-02 12:36:52.422085,1,Low
2026-05-02 12:36:52.540413,1,Low
2026-05-02 12:36:52.654798,1,Low
2026-05-02 12:36:52.766526,1,Low
2026-05-02 12:36:52.872643,0,Low
2026-05-02 12:36:52.989343,1,Low
2026-05-02 12:36:53.102446,2,Low
2026-05-02 12:36:53.203179,1,Low
2026-05-02 12:36:53.292571,1,Low
2026-05-02 12:36:53.403634,1,Low
2026-05-02 12:36:53.489384,1,Low
2026-05-02 12:36:53.601209,1,Low
2026-05-02 12:36:53.704293,1,Low
2026-05-02 12:36:53.823648,1,Low
2026-05-02 12:36:53.937879,1,Low
2026-05-02 12:36:54.033679,1,Low
2026-05-02 12:36:54.140159,1,Low
2026-05-02 12:36:54.246881,1,Low
2026-05-02 12:36:54.378348,2,Low
2026-05-02 12:36:54.488361,1,Low
2026-05-02 12:36:54.592941,2,Low
2026-05-02 12:36:54.708222,1,Low
2026-05-02 12:36:54.824370,1,Low
2026-05-02 12:36:54.935220,2,Low
2026-05-02 12:36:55.045900,1,Low
2026-05-02 12:36:55.151102,2,Low
2026-05-02 12:36:55.288391,1,Low
2026-05-02 12:36:55.410877,1,Low
2026-05-02 12:36:55.547098,1,Low
2026-05-02 12:36:55.646595,1,Low
2026-05-02 12:36:55.746294,1,Low
2026-05-02 12:36:55.869431,1,Low
2026-05-02 12:36:55.970794,1,Low
2026-05-02 12:36:56.083170,1,Low
2026-05-02 12:36:56.197503,1,Low
2026-05-02 12:36:56.290404,1,Low
2026-05-02 12:36:56.401356,1,Low
2026-05-02 12:36:56.514441,1,Low
2026-05-02 12:36:56.633795,1,Low
2026-05-02 12:36:56.748857,1,Low
2026-05-02 12:36:56.855883,1,Low
